TransportType    LoadFactor                  WorkLoad                  MsgSizeRange  SizeCntPercent  BytesPercent   UnschedBytes   MeanStretch   MedianStretch 99PercentStretch
    Homa             0.5                 FACEBOOK_KEY_VALUE                  1           0.58299        0.19956          9328      1.15990539466        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  1           0.58299        0.19956          9328            NA       1.09901445058        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  1           0.58299        0.19956          9328            NA             NA       1.71072126235 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  2           17.81760       6.16197          9328      1.16245117954        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  2           17.81760       6.16197          9328            NA       1.10138925407        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  2           17.81760       6.16197          9328            NA             NA       1.71606823939 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  3           9.24076        3.22840          9328      1.16590642668        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  3           9.24076        3.22840          9328            NA       1.10369206636        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  3           9.24076        3.22840          9328            NA             NA       1.72701587191 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  4           0.01798        0.00635          9328      1.16807352134        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  4           0.01798        0.00635          9328            NA       1.10810877903        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  4           0.01798        0.00635          9328            NA             NA       1.73861562312 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  5           2.74064        0.97683          9328      1.16882023789        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  5           2.74064        0.97683          9328            NA       1.10660419451        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  5           2.74064        0.97683          9328            NA             NA       1.73503550225 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  6           0.06503        0.02341          9328      1.16998198679        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  6           0.06503        0.02341          9328            NA       1.10728756894        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  6           0.06503        0.02341          9328            NA             NA       1.73915545995 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  7           0.60652        0.22046          9328      1.17083157392        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  7           0.60652        0.22046          9328            NA       1.10856738984        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  7           0.60652        0.22046          9328            NA             NA       1.73792401027 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  8           0.02297        0.00843          9328      1.17165618397        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  8           0.02297        0.00843          9328            NA        1.1110534974        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  8           0.02297        0.00843          9328            NA             NA       1.73877129228 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  9           0.83726        0.31024          9328      1.17257088947        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  9           0.83726        0.31024          9328            NA       1.11016805363        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  9           0.83726        0.31024          9328            NA             NA       1.74047016963 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  10          0.83753        0.31329          9328      1.17372413609        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  10          0.83753        0.31329          9328            NA       1.11087224192        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  10          0.83753        0.31329          9328            NA             NA       1.74410623425 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  11          8.98776        3.39375          9328      1.17568260284        NA             NA      
